,Item,Support
22,benzen-Dobro & pm25-Zelo dobra,1.0
2,benzen-Dobro,1.0
25,benzen-Dobro & nox-Zelo nizka,1.0
5,pm25-Zelo dobra,1.0
36,pm25-Zelo dobra & nox-Zelo nizka,1.0
8,nox-Zelo nizka,1.0
74,benzen-Dobro & pm25-Zelo dobra & nox-Zelo nizka,1.0
85,no2-Zelo dobra & pm25-Zelo dobra & nox-Zelo nizka,0.9909985935302391
30,no2-Zelo dobra & pm25-Zelo dobra,0.9909985935302391
33,no2-Zelo dobra & nox-Zelo nizka,0.9909985935302391
21,benzen-Dobro & no2-Zelo dobra,0.9909985935302391
68,benzen-Dobro & no2-Zelo dobra & pm25-Zelo dobra,0.9909985935302391
71,benzen-Dobro & no2-Zelo dobra & nox-Zelo nizka,0.9909985935302391
4,no2-Zelo dobra,0.9909985935302391
65,benzen-Dobro & pm4-Zelo dobra & pm25-Zelo dobra,0.9627566807313642
81,pm4-Zelo dobra & pm25-Zelo dobra & nox-Zelo nizka,0.9627566807313642
29,pm4-Zelo dobra & nox-Zelo nizka,0.9627566807313642
27,pm4-Zelo dobra & pm25-Zelo dobra,0.9627566807313642
3,pm4-Zelo dobra,0.9627566807313642
20,benzen-Dobro & pm4-Zelo dobra,0.9627566807313642
67,benzen-Dobro & pm4-Zelo dobra & nox-Zelo nizka,0.9627566807313642
26,pm4-Zelo dobra & no2-Zelo dobra,0.9574683544303797
79,pm4-Zelo dobra & no2-Zelo dobra & nox-Zelo nizka,0.9574683544303797
64,benzen-Dobro & pm4-Zelo dobra & no2-Zelo dobra,0.9574683544303797
77,pm4-Zelo dobra & no2-Zelo dobra & pm25-Zelo dobra,0.9574683544303797
62,pm10-Zelo dobra & pm25-Zelo dobra & nox-Zelo nizka,0.8754992967651195
1,pm10-Zelo dobra,0.8754992967651195
51,pm10-Zelo dobra & benzen-Dobro & pm25-Zelo dobra,0.8754992967651195
53,pm10-Zelo dobra & benzen-Dobro & nox-Zelo nizka,0.8754992967651195
14,pm10-Zelo dobra & benzen-Dobro,0.8754992967651195
17,pm10-Zelo dobra & pm25-Zelo dobra,0.8754992967651195
19,pm10-Zelo dobra & nox-Zelo nizka,0.8754992967651195
58,pm10-Zelo dobra & no2-Zelo dobra & pm25-Zelo dobra,0.8736427566807313
16,pm10-Zelo dobra & no2-Zelo dobra,0.8736427566807313
60,pm10-Zelo dobra & no2-Zelo dobra & nox-Zelo nizka,0.8736427566807313
50,pm10-Zelo dobra & benzen-Dobro & no2-Zelo dobra,0.8736427566807313
15,pm10-Zelo dobra & pm4-Zelo dobra,0.8709423347398031
