,Rule,Support,Confidence,Lift
0,h-Nizka,0.5627566807313643,0.5627566807313643,1.0
1,no2-Zelo dobra,0.9909985935302391,0.9909985935302391,1.0
2,nox-Zelo nizka,1.0,1.0,1.0
3,o3-Dobra,0.5078481012658228,0.5078481012658228,1.0
4,pm1-Zelo dobra,0.8513080168776371,0.8513080168776371,1.0
5,pm10-Zelo dobra,0.8754992967651195,0.8754992967651195,1.0
6,pm25-Zelo dobra,1.0,1.0,1.0
7,pm4-Zelo dobra,0.9627566807313642,0.9627566807313642,1.0
8,"no2-Zelo dobra, h-Nizka",0.5568495077355837,0.5568495077355837,1.0
9,"h-Nizka, nox-Zelo nizka",0.5627566807313643,0.5627566807313643,1.0
10,"h-Nizka, pm25-Zelo dobra",0.5627566807313643,0.5627566807313643,1.0
11,"pm4-Zelo dobra, h-Nizka",0.5481293952180029,0.5481293952180029,1.0
12,"no2-Zelo dobra, nox-Zelo nizka",0.9909985935302391,0.9909985935302391,1.0
13,"o3-Dobra, no2-Zelo dobra",0.5062728551336146,0.5062728551336146,1.0
14,"pm1-Zelo dobra, no2-Zelo dobra",0.8485513361462729,0.8485513361462729,1.0
15,"no2-Zelo dobra, pm10-Zelo dobra",0.8736427566807313,0.8736427566807313,1.0
16,"no2-Zelo dobra, pm25-Zelo dobra",0.9909985935302391,0.9909985935302391,1.0
17,"no2-Zelo dobra, pm4-Zelo dobra",0.9574683544303797,0.9574683544303797,1.0
18,"o3-Dobra, nox-Zelo nizka",0.5078481012658228,0.5078481012658228,1.0
19,"pm1-Zelo dobra, nox-Zelo nizka",0.8513080168776371,0.8513080168776371,1.0
20,"nox-Zelo nizka, pm10-Zelo dobra",0.8754992967651195,0.8754992967651195,1.0
21,"nox-Zelo nizka, pm25-Zelo dobra",1.0,1.0,1.0
22,"pm4-Zelo dobra, nox-Zelo nizka",0.9627566807313642,0.9627566807313642,1.0
23,"o3-Dobra, pm25-Zelo dobra",0.5078481012658228,0.5078481012658228,1.0
24,"pm1-Zelo dobra, pm10-Zelo dobra",0.8032630098452883,0.8032630098452883,1.0
25,"pm1-Zelo dobra, pm25-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
26,"pm1-Zelo dobra, pm4-Zelo dobra",0.8513080168776371,0.8513080168776371,1.0
27,"pm25-Zelo dobra, pm10-Zelo dobra",0.8754992967651195,0.8754992967651195,1.0
28,"pm4-Zelo dobra, pm10-Zelo dobra",0.8709423347398031,0.8709423347398031,1.0
29,"pm4-Zelo dobra, pm25-Zelo dobra",0.9627566807313642,0.9627566807313642,1.0
30,"no2-Zelo dobra, h-Nizka, nox-Zelo nizka",0.5568495077355837,0.5568495077355837,1.0
31,"no2-Zelo dobra, h-Nizka, pm25-Zelo dobra",0.5568495077355837,0.5568495077355837,1.0
32,"no2-Zelo dobra, pm4-Zelo dobra, h-Nizka",0.5440225035161744,0.5440225035161744,1.0
33,"h-Nizka, pm25-Zelo dobra, nox-Zelo nizka",0.5627566807313643,0.5627566807313643,1.0
34,"pm4-Zelo dobra, h-Nizka, nox-Zelo nizka",0.5481293952180029,0.5481293952180029,1.0
