,0
pm25-Zelo dobra,17775
nox-Zelo nizka,17775
no2-Zelo dobra,17615
pm4-Zelo dobra,17113
pm10-Zelo dobra,15562
pm1-Zelo dobra,15132
h-Nizka,10003
o3-Dobra,9027
h-Zelo nizka,8354
h-Visoka,7442
o3-Zelo dobra,6812
t-Srednje,6593
h-Srednja,6025
t-Hladno,5625
dateTime-Noč,5538
dateTime-Popoldne,4288
dateTime-Dopoldne,4169
dateTime-Večer,3780
t-Toplo,2544
pm10-Dobra,2075
pm1-Dobra,2052
h-Zelo visoka,1903
o3-Sprejemljiva,1780
t-Vroče,1554
t-Zelo hladno,965
pm4-Dobra,616
t-Zelo vroče,493
pm1-Slaba,369
pm1-Sprejemljiva,217
no2-Dobra,160
o3-Slaba,156
pm10-Sprejemljiva,117
pm4-Sprejemljiva,38
pm10-Slaba,21
pm4-Slaba,8
pm1-Zelo slaba,5
nan,1
