,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,['nox-Zelo nizka'],['pm25-Zelo dobra'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
1,['pm25-Zelo dobra'],['nox-Zelo nizka'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
2,['benzen-Dobro'],['pm25-Zelo dobra'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
3,['pm25-Zelo dobra'],['benzen-Dobro'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
4,"['nox-Zelo nizka', 'benzen-Dobro']",['pm25-Zelo dobra'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
5,"['nox-Zelo nizka', 'pm25-Zelo dobra']",['benzen-Dobro'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
6,"['benzen-Dobro', 'pm25-Zelo dobra']",['nox-Zelo nizka'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
7,['nox-Zelo nizka'],"['benzen-Dobro', 'pm25-Zelo dobra']",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
8,['benzen-Dobro'],"['nox-Zelo nizka', 'pm25-Zelo dobra']",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
9,['pm25-Zelo dobra'],"['nox-Zelo nizka', 'benzen-Dobro']",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
10,['nox-Zelo nizka'],['benzen-Dobro'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
11,['benzen-Dobro'],['nox-Zelo nizka'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
13,['no2-Zelo dobra'],['pm25-Zelo dobra'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
15,"['no2-Zelo dobra', 'pm25-Zelo dobra']",['nox-Zelo nizka'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
16,"['nox-Zelo nizka', 'no2-Zelo dobra']",['pm25-Zelo dobra'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
19,['no2-Zelo dobra'],"['nox-Zelo nizka', 'pm25-Zelo dobra']",0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
21,['no2-Zelo dobra'],['nox-Zelo nizka'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
