,support,itemsets
0,1.0,"('pm25-Zelo dobra',)"
13,1.0,"('pm25-Zelo dobra', 'benzen-Dobro')"
2,1.0,"('nox-Zelo nizka',)"
45,1.0,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro')"
5,1.0,"('benzen-Dobro',)"
23,1.0,"('nox-Zelo nizka', 'benzen-Dobro')"
10,1.0,"('pm25-Zelo dobra', 'nox-Zelo nizka')"
25,0.9909985935302391,"('nox-Zelo nizka', 'no2-Zelo dobra')"
47,0.9909985935302391,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'no2-Zelo dobra')"
103,0.9909985935302391,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
34,0.9909985935302391,"('benzen-Dobro', 'no2-Zelo dobra')"
15,0.9909985935302391,"('pm25-Zelo dobra', 'no2-Zelo dobra')"
56,0.9909985935302391,"('pm25-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
7,0.9909985935302391,"('no2-Zelo dobra',)"
74,0.9909985935302391,"('nox-Zelo nizka', 'benzen-Dobro', 'no2-Zelo dobra')"
6,0.9627566807313642,"('pm4-Zelo dobra',)"
73,0.9627566807313642,"('nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
46,0.9627566807313642,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra')"
24,0.9627566807313642,"('nox-Zelo nizka', 'pm4-Zelo dobra')"
14,0.9627566807313642,"('pm25-Zelo dobra', 'pm4-Zelo dobra')"
33,0.9627566807313642,"('benzen-Dobro', 'pm4-Zelo dobra')"
102,0.9627566807313642,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra')"
55,0.9627566807313642,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
76,0.9574683544303797,"('nox-Zelo nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
86,0.9574683544303797,"('benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
130,0.9574683544303797,"('nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
150,0.9574683544303797,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
58,0.9574683544303797,"('pm25-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
105,0.9574683544303797,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
115,0.9574683544303797,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
36,0.9574683544303797,"('pm4-Zelo dobra', 'no2-Zelo dobra')"
51,0.8754992967651195,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro')"
44,0.8754992967651195,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra')"
98,0.8754992967651195,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro')"
69,0.8754992967651195,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro')"
4,0.8754992967651195,"('pm10-Zelo dobra',)"
12,0.8754992967651195,"('pm25-Zelo dobra', 'pm10-Zelo dobra')"
29,0.8754992967651195,"('pm10-Zelo dobra', 'benzen-Dobro')"
22,0.8754992967651195,"('nox-Zelo nizka', 'pm10-Zelo dobra')"
31,0.8736427566807313,"('pm10-Zelo dobra', 'no2-Zelo dobra')"
71,0.8736427566807313,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'no2-Zelo dobra')"
110,0.8736427566807313,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
81,0.8736427566807313,"('pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
125,0.8736427566807313,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
145,0.8736427566807313,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'no2-Zelo dobra')"
53,0.8736427566807313,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'no2-Zelo dobra')"
100,0.8736427566807313,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'no2-Zelo dobra')"
70,0.8709423347398031,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra')"
124,0.8709423347398031,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
80,0.8709423347398031,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
99,0.8709423347398031,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra')"
52,0.8709423347398031,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra')"
144,0.8709423347398031,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
109,0.8709423347398031,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra')"
30,0.8709423347398031,"('pm10-Zelo dobra', 'pm4-Zelo dobra')"
127,0.8690857946554149,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
147,0.8690857946554149,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
154,0.8690857946554149,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
83,0.8690857946554149,"('pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
134,0.8690857946554149,"('pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
160,0.8690857946554149,"('nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
167,0.8690857946554149,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm10-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
112,0.8690857946554149,"('pm25-Zelo dobra', 'pm10-Zelo dobra', 'pm4-Zelo dobra', 'no2-Zelo dobra')"
104,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'pm1-Zelo dobra')"
151,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
106,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
77,0.8513080168776371,"('nox-Zelo nizka', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
75,0.8513080168776371,"('nox-Zelo nizka', 'benzen-Dobro', 'pm1-Zelo dobra')"
131,0.8513080168776371,"('nox-Zelo nizka', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
116,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
87,0.8513080168776371,"('benzen-Dobro', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
48,0.8513080168776371,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm1-Zelo dobra')"
26,0.8513080168776371,"('nox-Zelo nizka', 'pm1-Zelo dobra')"
59,0.8513080168776371,"('pm25-Zelo dobra', 'pm4-Zelo dobra', 'pm1-Zelo dobra')"
16,0.8513080168776371,"('pm25-Zelo dobra', 'pm1-Zelo dobra')"
37,0.8513080168776371,"('pm4-Zelo dobra', 'pm1-Zelo dobra')"
57,0.8513080168776371,"('pm25-Zelo dobra', 'benzen-Dobro', 'pm1-Zelo dobra')"
35,0.8513080168776371,"('benzen-Dobro', 'pm1-Zelo dobra')"
8,0.8513080168776371,"('pm1-Zelo dobra',)"
152,0.8485513361462729,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'benzen-Dobro', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
153,0.8485513361462729,"('pm25-Zelo dobra', 'nox-Zelo nizka', 'pm4-Zelo dobra', 'no2-Zelo dobra', 'pm1-Zelo dobra')"
