,0
t-Hladno,4138
dateTime-Večer,3780
pm10-Sprejemljiva,117
h-Visoka,7442
pm4-Slaba,8
pm1-Dobra,2052
pm25-Zelo dobra,17775
o3-Zelo dobra,6812
o3-Slaba,156
pm1-Zelo slaba,5
pm4-Sprejemljiva,38
o3-Sprejemljiva,1780
pm10-Dobra,2075
no2-Dobra,160
pm1-Slaba,369
dateTime-Dopoldne,4169
h-Nizka,10003
nox-Zelo nizka,17775
dateTime-Noč,5538
h-Zelo nizka,8354
t-Zelo hladno,317
h-Zelo visoka,1903
t-Vroče,1701
o3-Dobra,9027
t-Srednje,7349
h-Srednja,6025
pm10-Slaba,21
pm4-Dobra,616
t-Zelo vroče,883
t-Toplo,3337
pm10-Zelo dobra,15562
benzen-Dobro,17775
pm1-Sprejemljiva,217
pm4-Zelo dobra,17113
dateTime-Popoldne,4288
no2-Zelo dobra,17615
pm1-Zelo dobra,15132
