,Item,Support
0,benzen-Dobro,1.0
6,pm25-Zelo dobra,1.0
43,benzen-Dobro & nox-Zelo nizka & pm25-Zelo dobra,1.0
21,nox-Zelo nizka & pm25-Zelo dobra,1.0
1,nox-Zelo nizka,1.0
9,benzen-Dobro & nox-Zelo nizka,1.0
14,benzen-Dobro & pm25-Zelo dobra,1.0
68,nox-Zelo nizka & no2-Zelo dobra & pm25-Zelo dobra,0.9909985935302391
18,nox-Zelo nizka & no2-Zelo dobra,0.9909985935302391
11,benzen-Dobro & no2-Zelo dobra,0.9909985935302391
40,benzen-Dobro & nox-Zelo nizka & no2-Zelo dobra,0.9909985935302391
31,no2-Zelo dobra & pm25-Zelo dobra,0.9909985935302391
53,benzen-Dobro & no2-Zelo dobra & pm25-Zelo dobra,0.9909985935302391
3,no2-Zelo dobra,0.9909985935302391
26,pm4-Zelo dobra & pm25-Zelo dobra,0.9627566807313642
39,benzen-Dobro & nox-Zelo nizka & pm4-Zelo dobra,0.9627566807313642
2,pm4-Zelo dobra,0.9627566807313642
17,nox-Zelo nizka & pm4-Zelo dobra,0.9627566807313642
63,nox-Zelo nizka & pm4-Zelo dobra & pm25-Zelo dobra,0.9627566807313642
48,benzen-Dobro & pm4-Zelo dobra & pm25-Zelo dobra,0.9627566807313642
10,benzen-Dobro & pm4-Zelo dobra,0.9627566807313642
46,benzen-Dobro & pm4-Zelo dobra & no2-Zelo dobra,0.9574683544303797
77,pm4-Zelo dobra & no2-Zelo dobra & pm25-Zelo dobra,0.9574683544303797
61,nox-Zelo nizka & pm4-Zelo dobra & no2-Zelo dobra,0.9574683544303797
24,pm4-Zelo dobra & no2-Zelo dobra,0.9574683544303797
59,benzen-Dobro & pm25-Zelo dobra & pm10-Zelo dobra,0.8754992967651195
74,nox-Zelo nizka & pm25-Zelo dobra & pm10-Zelo dobra,0.8754992967651195
37,pm25-Zelo dobra & pm10-Zelo dobra,0.8754992967651195
45,benzen-Dobro & nox-Zelo nizka & pm10-Zelo dobra,0.8754992967651195
8,pm10-Zelo dobra,0.8754992967651195
23,nox-Zelo nizka & pm10-Zelo dobra,0.8754992967651195
16,benzen-Dobro & pm10-Zelo dobra,0.8754992967651195
33,no2-Zelo dobra & pm10-Zelo dobra,0.8736427566807313
55,benzen-Dobro & no2-Zelo dobra & pm10-Zelo dobra,0.8736427566807313
87,no2-Zelo dobra & pm25-Zelo dobra & pm10-Zelo dobra,0.8736427566807313
70,nox-Zelo nizka & no2-Zelo dobra & pm10-Zelo dobra,0.8736427566807313
28,pm4-Zelo dobra & pm10-Zelo dobra,0.8709423347398031
50,benzen-Dobro & pm4-Zelo dobra & pm10-Zelo dobra,0.8709423347398031
82,pm4-Zelo dobra & pm25-Zelo dobra & pm10-Zelo dobra,0.8709423347398031
65,nox-Zelo nizka & pm4-Zelo dobra & pm10-Zelo dobra,0.8709423347398031
79,pm4-Zelo dobra & no2-Zelo dobra & pm10-Zelo dobra,0.8690857946554149
64,nox-Zelo nizka & pm4-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
81,pm4-Zelo dobra & pm25-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
73,nox-Zelo nizka & pm25-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
49,benzen-Dobro & pm4-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
58,benzen-Dobro & pm25-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
44,benzen-Dobro & nox-Zelo nizka & pm1-Zelo dobra,0.8513080168776371
22,nox-Zelo nizka & pm1-Zelo dobra,0.8513080168776371
27,pm4-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
36,pm25-Zelo dobra & pm1-Zelo dobra,0.8513080168776371
7,pm1-Zelo dobra,0.8513080168776371
15,benzen-Dobro & pm1-Zelo dobra,0.8513080168776371
54,benzen-Dobro & no2-Zelo dobra & pm1-Zelo dobra,0.8485513361462729
69,nox-Zelo nizka & no2-Zelo dobra & pm1-Zelo dobra,0.8485513361462729
78,pm4-Zelo dobra & no2-Zelo dobra & pm1-Zelo dobra,0.8485513361462729
86,no2-Zelo dobra & pm25-Zelo dobra & pm1-Zelo dobra,0.8485513361462729
32,no2-Zelo dobra & pm1-Zelo dobra,0.8485513361462729
75,nox-Zelo nizka & pm1-Zelo dobra & pm10-Zelo dobra,0.8032630098452883
83,pm4-Zelo dobra & pm1-Zelo dobra & pm10-Zelo dobra,0.8032630098452883
60,benzen-Dobro & pm1-Zelo dobra & pm10-Zelo dobra,0.8032630098452883
38,pm1-Zelo dobra & pm10-Zelo dobra,0.8032630098452883
89,pm25-Zelo dobra & pm1-Zelo dobra & pm10-Zelo dobra,0.8032630098452883
88,no2-Zelo dobra & pm1-Zelo dobra & pm10-Zelo dobra,0.8016315049226441
5,h-Nizka,0.5627566807313643
72,nox-Zelo nizka & h-Nizka & pm25-Zelo dobra,0.5627566807313643
13,benzen-Dobro & h-Nizka,0.5627566807313643
35,h-Nizka & pm25-Zelo dobra,0.5627566807313643
42,benzen-Dobro & nox-Zelo nizka & h-Nizka,0.5627566807313643
20,nox-Zelo nizka & h-Nizka,0.5627566807313643
57,benzen-Dobro & h-Nizka & pm25-Zelo dobra,0.5627566807313643
85,no2-Zelo dobra & h-Nizka & pm25-Zelo dobra,0.5568495077355837
30,no2-Zelo dobra & h-Nizka,0.5568495077355837
52,benzen-Dobro & no2-Zelo dobra & h-Nizka,0.5568495077355837
67,nox-Zelo nizka & no2-Zelo dobra & h-Nizka,0.5568495077355837
25,pm4-Zelo dobra & h-Nizka,0.5481293952180029
