,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,['pm25-Zelo dobra'],['nox-Zelo nizka'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
1,['nox-Zelo nizka'],['pm25-Zelo dobra'],1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
2,"['no2-Zelo dobra', 'pm25-Zelo dobra']",['nox-Zelo nizka'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
3,"['no2-Zelo dobra', 'nox-Zelo nizka']",['pm25-Zelo dobra'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
5,['no2-Zelo dobra'],"['pm25-Zelo dobra', 'nox-Zelo nizka']",0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
8,['no2-Zelo dobra'],['pm25-Zelo dobra'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
10,['no2-Zelo dobra'],['nox-Zelo nizka'],0.9909985935302391,1.0,0.9909985935302391,1.0,1.0,0.0,inf,0.0
12,"['pm4-Zelo dobra', 'pm25-Zelo dobra']",['nox-Zelo nizka'],0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
14,"['pm4-Zelo dobra', 'nox-Zelo nizka']",['pm25-Zelo dobra'],0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
16,['pm4-Zelo dobra'],"['pm25-Zelo dobra', 'nox-Zelo nizka']",0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
19,['pm4-Zelo dobra'],['pm25-Zelo dobra'],0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
20,['pm4-Zelo dobra'],['nox-Zelo nizka'],0.9627566807313642,1.0,0.9627566807313642,1.0,1.0,0.0,inf,0.0
22,"['no2-Zelo dobra', 'pm25-Zelo dobra', 'pm4-Zelo dobra']",['nox-Zelo nizka'],0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
24,"['no2-Zelo dobra', 'pm4-Zelo dobra', 'nox-Zelo nizka']",['pm25-Zelo dobra'],0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
27,"['no2-Zelo dobra', 'pm4-Zelo dobra']","['pm25-Zelo dobra', 'nox-Zelo nizka']",0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
37,"['no2-Zelo dobra', 'pm4-Zelo dobra']",['pm25-Zelo dobra'],0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
42,"['no2-Zelo dobra', 'pm4-Zelo dobra']",['nox-Zelo nizka'],0.9574683544303797,1.0,0.9574683544303797,1.0,1.0,0.0,inf,0.0
25,"['pm4-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka']",['no2-Zelo dobra'],0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
29,"['pm4-Zelo dobra', 'pm25-Zelo dobra']","['no2-Zelo dobra', 'nox-Zelo nizka']",0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
31,"['pm4-Zelo dobra', 'nox-Zelo nizka']","['no2-Zelo dobra', 'pm25-Zelo dobra']",0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
34,['pm4-Zelo dobra'],"['no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka']",0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
38,"['pm4-Zelo dobra', 'pm25-Zelo dobra']",['no2-Zelo dobra'],0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
41,['pm4-Zelo dobra'],"['no2-Zelo dobra', 'pm25-Zelo dobra']",0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
44,"['pm4-Zelo dobra', 'nox-Zelo nizka']",['no2-Zelo dobra'],0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
46,['pm4-Zelo dobra'],"['no2-Zelo dobra', 'nox-Zelo nizka']",0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
49,['pm4-Zelo dobra'],['no2-Zelo dobra'],0.9627566807313642,0.9909985935302391,0.9574683544303797,0.9945070998655993,1.0035403746869729,0.003377837913756343,1.6387347757129618,0.09472530168432786
4,"['pm25-Zelo dobra', 'nox-Zelo nizka']",['no2-Zelo dobra'],1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
6,['pm25-Zelo dobra'],"['no2-Zelo dobra', 'nox-Zelo nizka']",1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
7,['nox-Zelo nizka'],"['no2-Zelo dobra', 'pm25-Zelo dobra']",1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
9,['pm25-Zelo dobra'],['no2-Zelo dobra'],1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
11,['nox-Zelo nizka'],['no2-Zelo dobra'],1.0,0.9909985935302391,0.9909985935302391,0.9909985935302391,1.0,0.0,1.0,0.0
23,"['no2-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
26,"['no2-Zelo dobra', 'pm25-Zelo dobra']","['pm4-Zelo dobra', 'nox-Zelo nizka']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
28,"['no2-Zelo dobra', 'nox-Zelo nizka']","['pm4-Zelo dobra', 'pm25-Zelo dobra']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
32,['no2-Zelo dobra'],"['pm4-Zelo dobra', 'pm25-Zelo dobra', 'nox-Zelo nizka']",0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
36,"['no2-Zelo dobra', 'pm25-Zelo dobra']",['pm4-Zelo dobra'],0.9909985935302391,0.9627566807313642,0.9574683544303797,0.9661652001135396,1.0035403746869729,0.003377837913756343,1.1007400485184877,0.3919259357189077
