antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[pm10([0.0, 81.8])]","[t([-6.86, 50.37])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.999943741209564,0.6309297535714574,0.0,0.0
"[t([-6.86, 50.37])]","[pm25([0.0, 6.4])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.999943741209564,0.6309297535714574,0.0,0.0
"[o3([0.0, 161.0])]","[no2([0.0, 64.0])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.999943741209564,0.6309297535714574,0.0,0.0
[benzen(0)],"[o3([0.0, 161.0]), no2([0.0, 64.0])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,0.25,0.999943741209564,0.7924812503605781,0.0,0.0
"[pm1([0.0, 69.1])]","[o3([0.0, 161.0])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.999943741209564,0.6309297535714574,0.0,0.0
"[pm1([0.0, 69.1]), o3([0.0, 161.0])]",[benzen(0)],1.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,0.25,0.999943741209564,0.5,0.0,0.0
"[pm1([0.0, 51.56065033330321])]","[o3([0.0, 161.0])]",0.999887482419128,0.999774964838256,1.0,1.0,0.999774964838256,1.0,0.0,0.12691280511358016,0.16666666666666666,0.999718731365383,0.6309297535714574,0.0,0.0
"[pm25([0.0, 6.218603563536296]), pm1([0.07261849637937251, 67.48744143638342])]","[o3([0.0, 161.0])]",0.999662447257384,0.9993248945147679,1.0,1.0,0.9993248945147679,1.0,0.0,0.01757690163984571,0.25,0.9992687116599269,0.5,0.0,0.0
[benzen(0)],"[o3([0.0, 151.77675845884258]), no2([0.0, 63.999828748662075])]",0.9985935302390999,0.9985935302390999,0.9985935302390999,1.0,1.0,0.9985935302390999,0.9999999999998421,nan,0.25,0.9985374295899502,0.7924812503605781,0.0,0.0
"[pm10([0.0, 81.8])]","[benzen(0), t([-5.57376159070799, 50.37])]",0.9975808720112518,0.9975808720112518,0.9975808720112518,1.0,1.0,0.9975808720112518,0.9999999999999082,nan,0.25,0.9975248850860083,0.7924812503605781,0.0,0.0
"[pm1([0.1462203433428651, 69.1]), h([8.007500021449902, 98.63001352008457])]","[o3([0.0, 161.0]), benzen(0)]",0.9985091420534459,0.9970182841068918,1.0,1.0,0.9970182841068918,1.0,0.0,nan,0.3333333333333333,0.9969623603117388,0.6826061944859854,0.0,0.0
"[pm1([0.28018345867379085, 68.67227913177783])]","[o3([0.0, 161.0]), benzen(0)]",0.9980872011251758,0.9961744022503516,1.0,1.0,0.9961744022503516,1.0,0.0,nan,0.25,0.9961185730835612,0.7924812503605781,0.0,0.0
"[pm10([0.0, 81.8])]","[benzen(0), t([-6.86, 46.07120784740056])]",0.9956118143459916,0.9956118143459916,0.9956118143459916,1.0,1.0,0.9956118143459916,0.9999999999999494,nan,0.25,0.9955560482202608,0.7924812503605781,0.0,0.0
"[pm1([0.0, 69.1]), benzen(0), o3([0.0, 161.0])]","[h([14.031267360210947, 100.0])]",0.9881856540084388,0.9881856540084388,0.9881856540084388,1.0,1.0,0.9881856540084388,0.9999999999999812,nan,0.3333333333333333,0.9881307166871005,0.43067655807339306,0.0,0.0
"[pm1([0.3916575824981362, 69.1]), pm10([1.170389075549995, 78.74622631808168]), benzen(0)]","[o3([0.0, 161.0])]",0.9914486638537272,0.9828973277074543,1.0,1.0,0.9828973277074543,1.0,0.0,nan,0.3333333333333333,0.9828429768125562,0.43067655807339306,0.0,0.0
"[pm1([0.0, 69.1]), pm25([0.0, 6.13166163806207]), pm10([1.9754714578850243, 77.43475305463373]), benzen(0)]","[o3([0.0, 161.0])]",0.9893108298171589,0.9786216596343179,1.0,1.0,0.9786216596343179,1.0,0.0,nan,0.4166666666666667,0.9785677805708746,0.3868528072345416,0.0,0.0
"[pm1([0.77893706039936, 66.7353917152443])]","[o3([0.0, 161.0]), benzen(0)]",0.9865260196905766,0.9730520393811533,1.0,1.0,0.9730520393811533,1.0,0.0,nan,0.25,0.9729987718553392,0.7924812503605781,0.0,0.0
"[pm10([0.0, 81.8])]","[t([-0.8658626136651613, 50.37]), benzen(0)]",0.959831223628692,0.959831223628692,0.959831223628692,1.0,1.0,0.959831223628692,0.9999999999999944,nan,0.25,0.9597793937565202,0.7924812503605781,0.0,0.0
"[o3([0.0, 161.0])]","[no2([1.0312382195351175, 63.24771196992102])]",0.9382841068917018,0.9382841068917018,0.9382841068917018,1.0,1.0,0.9382841068917018,0.9999999999999964,0.013933798825110144,0.16666666666666666,0.9382345779428836,0.6309297535714574,0.0,0.0
"[pm1([0.0, 69.1])]","[o3([11.55499366862689, 161.0]), benzen(0)]",0.9373277074542897,0.9373277074542897,0.9373277074542897,1.0,1.0,0.9373277074542897,0.9999999999999964,nan,0.25,0.9372782794244072,0.7924812503605781,0.0,0.0
"[benzen(0), o3([9.083521016889426, 150.74337089357834])]","[no2([0.0, 64.0])]",0.9681293952180028,0.9362587904360056,1.0,1.0,0.9362587904360056,1.0,0.0,nan,0.25,0.9362094750760805,0.5,0.0,0.0
