antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,inclusion,interestingness,comprehensibility,netconf,yulesq,aws
"['resulted', 'form', 'mining']","['relations', 'attributes']",0.8514372624030537,0.1111111111111111,1.0,4.5,0.1111111111111111,0.2222222222222222,3502799710177052.5,0.011111111111111112,0.49382716049382713,0.6131471927654585,0.8749999999999999,1.0,1.44320067609805
"['particle', ""'s""]","['time', 'results']",0.7792610762922175,0.1111111111111111,1.0,3.0,0.1111111111111111,0.3333333333333333,3002399751580331.0,0.008888888888888889,0.3292181069958847,0.6826061944859854,0.7499999999999999,1.0,1.2266721177655415
"[""'s""]","['trainers', 'athlete']",0.7106983896673529,0.2222222222222222,1.0,4.5,0.2222222222222222,0.2222222222222222,3502799710177052.5,0.006666666666666667,0.9753086419753086,0.7924812503605781,0.9999999999999997,1.0,0.9098729467798363
['athletes'],"['algorithm', ""'s"", 'time']",0.6866803632227431,0.1111111111111111,0.5,2.25,0.2222222222222222,0.2222222222222222,1.555555555555555,0.008888888888888889,0.24691358024691357,0.8613531161467861,0.35714285714285704,0.7142857142857143,1.448929978557118
"[""'s""]","['due', 'results']",0.686641699313232,0.2222222222222222,1.0,4.5,0.2222222222222222,0.2222222222222222,3502799710177052.5,0.006666666666666667,0.9753086419753086,0.7924812503605781,0.9999999999999997,1.0,0.8377028757174736
['intermediate'],"[""'s"", 'form', 'sport']",0.6852789826367096,0.1111111111111111,1.0,9.0,0.1111111111111111,0.1111111111111111,4003199668773774.0,0.008888888888888889,0.9876543209876543,0.8613531161467861,0.9999999999999999,1.0,0.9447258367990177
"[""'s"", 'artificial']","['proposed', 'abilities']",0.6400828427653796,0.1111111111111111,1.0,9.0,0.1111111111111111,0.1111111111111111,4003199668773774.0,0.008888888888888889,0.9876543209876543,0.6826061944859854,0.9999999999999999,1.0,0.8091374171850276
['presented'],"['lot', ""'s"", 'swarm']",0.6270907596154989,0.1111111111111111,1.0,9.0,0.1111111111111111,0.1111111111111111,4003199668773774.0,0.008888888888888889,0.9876543209876543,0.8613531161467861,0.9999999999999999,1.0,0.7701611677353855
"[""'s""]",['results'],0.6261463792264488,0.2222222222222222,1.0,2.25,0.2222222222222222,0.4444444444444444,2501999792983609.0,0.0044444444444444444,0.4876543209876543,0.6309297535714574,0.7142857142857141,1.0,0.6562169154571239
['intermediate'],"[""'s"", 'results']",0.6249465393086195,0.1111111111111111,1.0,4.5,0.1111111111111111,0.2222222222222222,3502799710177052.5,0.006666666666666667,0.49382716049382713,0.7924812503605781,0.8749999999999999,1.0,0.7637285068147476
